Rank,Company Name,Entity Type,Fence,Source Count,Sources,Best Score,Confidence,Has Dock 3,Website,LinkedIn,Domain,City,Employees,Key Signal,Dock 3 Note
1,"Escadrone",operator,,4,"dji_reseller_list, google_search, govt_registry, comet",80,high,No,https://escadrone.com,https://www.linkedin.com/company/escadrone,escadrone.com,"Isère",15,"DJI Enterprise Dealer + dji dock",""
2,"Prodrones",reseller,,4,"dji_reseller_list, govt_registry, google_search, comet",80,high,No,https://www.prodrones.fr,https://www.linkedin.com/company/pro-drones,prodrones.fr,"Wimille",8,"DJI Enterprise Dealer + NAF_B:30.30Z|generic_name|structured|emp:03|PME/micro",""
3,"Flying eye",operator,,3,"comet, dji_reseller_list, google_search",85,high,Yes,https://www.flyingeye.fr,https://www.linkedin.com/company/flyingeye,flyingeye.fr,"06410 Biot",,"DJI Dock 3 Authorized: Yes + DJI Enterprise Dealer","DJI Dock 3 Authorized"
4,"Abot",operator,,2,"comet, dji_reseller_list",85,high,Yes,https://www.abot.fr,https://www.linkedin.com/company/abot-fr,abot.fr,"76230 Isneauville",,"DJI Dock 3 Authorized: Yes + DJI Enterprise Dealer","DJI Dock 3 Authorized"
5,"Instadrone",operator,,2,"govt_registry, google_search",85,high,No,,,,"",35,"NAF_A:71.12B|generic_name|structured|emp:12|PME/micro + dji dock",""
6,"Capture solutions",reseller,,2,"dji_reseller_list, comet",80,high,No,https://www.capture-solutions.fr/,https://www.linkedin.com/company/capture-solution123,capture-solutions.fr,"Saint-Germain-en-Laye",,"DJI Enterprise Dealer + DJI Dock 3 Authorized: No",""
7,"DUMONT SECURITE",reseller,,2,"dji_reseller_list, comet",80,high,No,https://www.dumont-securite.fr/,https://www.linkedin.com/company/dumont-securite,dumont-securite.fr,"Ambérieu-en-Bugey",,"DJI Enterprise Dealer + DJI Dock 3 Authorized: No",""
8,"Geomesure",reseller,,2,"dji_reseller_list, comet",80,high,No,https://www.geomesure.fr,https://www.linkedin.com/company/geomesure,geomesure.fr,"Hérault",,"DJI Enterprise Dealer + DJI Dock 3 Authorized: No",""
9,"NETPIX La Camera embarquée",reseller,,2,"dji_reseller_list, comet",80,high,No,https://www.lacameraembarquee.fr,https://www.linkedin.com/company/la-camera-embarquee,lacameraembarquee.fr,"Aix-en-Provence",,"DJI Enterprise Dealer + DJI Dock 3 Authorized: No",""
10,"PROTEC SECURITY SYSTEMS",reseller,,2,"dji_reseller_list, comet",80,high,No,https://www.protecsecuritysystems.fr/en/home/,https://www.linkedin.com/company/security-systems-by-protec,protecsecuritysystems.fr,"Lieusaint",,"DJI Enterprise Dealer + DJI Dock 3 Authorized: No",""
11,"Rivolier",reseller,,2,"dji_reseller_list, comet",80,high,No,https://www.rivolier-sd.com/,https://www.linkedin.com/company/rivolier-sas,rivolier-sd.com,"Abrest",,"DJI Enterprise Dealer + DJI Dock 3 Authorized: No",""
12,"VOLTANEO",reseller,,2,"dji_reseller_list, comet",80,high,No,https://www.voltaneo.com,https://www.linkedin.com/company/voltaneo,voltaneo.com,"Clermont-Ferrand",,"DJI Enterprise Dealer + DJI Dock 3 Authorized: No",""
13,"Dronavia",operator,,1,"google_search",77,high,No,https://dronavia.com/,,dronavia.com,"",,"dock 3",""
14,"STTL (Service Technique Topographie Laser)",reseller,,1,"dji_reseller_list",80,high,No,https://www.sttl-topographie.com/,https://www.linkedin.com/company/sttl,sttl-topographie.com,"Rhône",,"DJI Enterprise Dealer",""
15,"Telepilote",reseller,,1,"google_search",77,high,No,https://telepilote.store/,,telepilote.store,"",,"dji dock",""
16,"Dji Paris",reseller,,1,"google_search",73,high,No,https://boutique.dji-paris.com/,,dji-paris.com,"",,"dji dock",""
17,"Djlfrance",reseller,,1,"google_search",60,medium,No,https://djlfrance.com/,,djlfrance.com,"",,"dji dock",""
18,"Studiosport",reseller,,1,"google_search",60,medium,No,https://studiosport.fr/,,studiosport.fr,"",,"dji dock",""
19,"Djifr",reseller,,1,"google_search",69,medium,No,,,,"",,"dji dock",""
20,"Aptella",unknown,,1,"google_search",77,high,No,https://aptella.com/,,aptella.com,"",,"dji dock",""
21,"Advexure",unknown,,1,"google_search",73,high,No,https://advexure.com/,,advexure.com,"",,"dji dock",""
22,"DRONE INSPECTION",unknown,,1,"govt_registry",95,high,No,,,,"",,"NAF_A:71.20B|dock_kw|structured|PME/micro",""
23,"CARIBEENNE D'EXPERTISE ET DE DRONES",unknown,,1,"govt_registry",90,high,No,,,,"",2,"NAF_A:71.12B|provider_kw|structured|emp:01|PME/micro",""
24,"SQUADRONE SYSTEM",unknown,,1,"govt_registry",90,high,No,,,,"",35,"NAF_A:71.12B|provider_kw|structured|emp:12|PME/micro",""
25,"DRONE CONSULTING",unknown,,1,"govt_registry",90,high,No,,,,"",8,"NAF_A:71.20B|provider_kw|structured|emp:03|PME/micro",""
26,"BATHY DRONE SOLUTIONS",unknown,,1,"govt_registry",90,high,No,,,,"",4,"NAF_A:71.20B|provider_kw|structured|emp:02|PME/micro",""
27,"SAS DRONE SERVICES",unknown,,1,"govt_registry",90,high,No,,,,"",2,"NAF_A:71.12B|provider_kw|structured|emp:01|PME/micro",""
28,"DRONE EXPERTISE CENTRE",unknown,,1,"govt_registry",90,high,No,,,,"",4,"NAF_A:71.20B|provider_kw|structured|emp:02|PME/micro",""
29,"DRONES INGENIERIE SYSTEMES",unknown,,1,"govt_registry",90,high,No,,,,"",2,"NAF_A:71.20B|provider_kw|structured|emp:01|PME/micro",""
30,"DIODON DRONE TECHNOLOGY",unknown,,1,"govt_registry",90,high,No,,,,"",35,"NAF_A:71.12B|provider_kw|structured|emp:12|PME/micro",""
31,"DRONEDELATTREEXPERTISE",unknown,,1,"govt_registry",90,high,No,,,,"",2,"NAF_A:71.12B|provider_kw|structured|emp:01|PME/micro",""
32,"SKYDRONE INNOVATIONS",unknown,,1,"govt_registry",90,high,No,,,,"",15,"NAF_A:71.12B|provider_kw|structured|emp:11|PME/micro",""
33,"ARTECH'DRONE",unknown,,1,"govt_registry",90,high,No,,,,"",8,"NAF_A:71.12B|provider_kw|structured|emp:03|PME/micro",""
34,"SCANDRONE",unknown,,1,"govt_registry",85,high,No,,,,"",2,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro",""
35,"SAS DRONES EXPERTISES 2.9",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro",""
36,"SIG-DRONE",unknown,,1,"govt_registry",85,high,No,,,,"",4,"NAF_A:71.12B|generic_name|structured|emp:02|PME/micro",""
37,"DRONE EXP'AIR TECH",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro",""
38,"DRONES TECHNOLOGIES SERVICES",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro",""
39,"DRONE EXPERT'",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro",""
